index,timestep,node,net_export
602,t0001,n8015,0.0
603,t0001,n8016,0.0
604,t0001,n8028,0.0
605,t0001,n8043,0.0
606,t0001,n8045,0.0
607,t0001,n8046,0.0
608,t0001,n8047,0.0
609,t0001,n8051,0.0
610,t0001,n8052,0.0
611,t0001,n8055,0.0
612,t0001,n8060,0.0
613,t0001,n8061,0.0
614,t0001,n8066,0.0
599,t0001,n7998,0.0
598,t0001,n7996,0.0
597,t0001,n7989,0.0
596,t0001,n7988,0.0
580,t0001,n7913,0.0
581,t0001,n7916,0.0
582,t0001,n7933,0.0
583,t0001,n7934,0.0
584,t0001,n7938,0.0
585,t0001,n7939,0.0
586,t0001,n7941,0.0
541,t0001,n7720,0.0
587,t0001,n7944,0.0
589,t0001,n7959,0.0
590,t0001,n7961,-596.885
591,t0001,n7967,0.0
592,t0001,n7975,0.0
593,t0001,n7976,0.0
594,t0001,n7983,0.0
595,t0001,n7984,0.0
588,t0001,n7952,0.0
463,t0001,n5686,0.0
540,t0001,n7712,0.0
538,t0001,n7704,0.0
484,t0001,n5732,0.0
485,t0001,n5733,0.0
486,t0001,n5734,0.0
487,t0001,n5735,0.0
488,t0001,n5738,0.0
489,t0001,n5739,0.0
490,t0001,n6839,0.0
491,t0001,n6841,0.0
492,t0001,n6842,0.0
493,t0001,n6843,0.0
494,t0001,n6844,0.0
495,t0001,n6845,0.0
496,t0001,n6846,0.0
497,t0001,n6847,0.0
498,t0001,n6848,0.0
483,t0001,n5726,0.0
499,t0001,n6849,0.0
482,t0001,n5725,0.0
480,t0001,n5722,0.0
465,t0001,n5688,0.0
466,t0001,n5689,0.0
467,t0001,n5690,0.0
468,t0001,n5692,0.0
469,t0001,n5693,0.0
470,t0001,n5694,0.0
471,t0001,n5695,0.0
472,t0001,n5696,0.0
473,t0001,n5697,0.0
474,t0001,n5702,-526.3266666666666
475,t0001,n5710,0.0
476,t0001,n5711,0.0
477,t0001,n5713,0.0
478,t0001,n5714,0.0
479,t0001,n5718,0.0
481,t0001,n5724,0.0
500,t0001,n6850,0.0
501,t0001,n6851,0.0
502,t0001,n6852,0.0
523,t0001,n7281,0.0
524,t0001,n7282,0.0
525,t0001,n7486,0.0
526,t0001,n7487,0.0
527,t0001,n7489,0.0
528,t0001,n7610,0.0
529,t0001,n7637,0.0
530,t0001,n7641,0.0
531,t0001,n7649,0.0
532,t0001,n7652,0.0
533,t0001,n7653,0.0
534,t0001,n7672,0.0
535,t0001,n7681,0.0
536,t0001,n7682,0.0
537,t0001,n7688,0.0
522,t0001,n7280,0.0
521,t0001,n7279,0.0
520,t0001,n7278,0.0
519,t0001,n7277,0.0
503,t0001,n6853,0.0
504,t0001,n6854,0.0
505,t0001,n7151,0.0
506,t0001,n7261,0.0
507,t0001,n7264,0.0
508,t0001,n7266,0.0
509,t0001,n7267,0.0
539,t0001,n7711,0.0
510,t0001,n7268,0.0
512,t0001,n7270,0.0
513,t0001,n7271,0.0
514,t0001,n7272,0.0
515,t0001,n7273,0.0
516,t0001,n7274,0.0
517,t0001,n7275,0.0
518,t0001,n7276,0.0
511,t0001,n7269,0.0
308,t0001,n4730,0.0
460,t0001,n5683,0.0
306,t0001,n4728,0.0
98,t0001,n4507,0.0
99,t0001,n4508,0.0
100,t0001,n4509,0.0
101,t0001,n4510,0.0
102,t0001,n4511,0.0
103,t0001,n4512,0.0
104,t0001,n4513,0.0
105,t0001,n4514,0.0
106,t0001,n4515,0.0
107,t0001,n4516,0.0
108,t0001,n4517,0.0
109,t0001,n4518,0.0
110,t0001,n4519,0.0
111,t0001,n4520,0.0
112,t0001,n4521,0.0
97,t0001,n4506,0.0
113,t0001,n4522,0.0
96,t0001,n4505,0.0
94,t0001,n4503,0.0
79,t0001,n3581,-224.09962264150943
80,t0001,n3587,-32.4354716981132
81,t0001,n3610,-112.04981132075471
82,t0001,n3735,-2352.44
83,t0001,n3739,-588.1099999999999
84,t0001,n3827,-588.1099999999999
85,t0001,n3848,0.0
86,t0001,n4494,-596.885
87,t0001,n4496,0.0
88,t0001,n4497,0.0
89,t0001,n4498,0.0
90,t0001,n4499,0.0
91,t0001,n4500,0.0
92,t0001,n4501,0.0
93,t0001,n4502,0.0
95,t0001,n4504,0.0
114,t0001,n4523,0.0
115,t0001,n4524,0.0
116,t0001,n4525,0.0
137,t0001,n4546,0.0
138,t0001,n4547,0.0
139,t0001,n4548,0.0
140,t0001,n4549,0.0
141,t0001,n4550,0.0
142,t0001,n4551,0.0
143,t0001,n4552,0.0
144,t0001,n4553,0.0
145,t0001,n4554,0.0
146,t0001,n4555,0.0
147,t0001,n4556,0.0
148,t0001,n4557,0.0
149,t0001,n4558,0.0
150,t0001,n4559,0.0
151,t0001,n4560,0.0
136,t0001,n4545,0.0
135,t0001,n4544,0.0
134,t0001,n4543,0.0
133,t0001,n4542,0.0
117,t0001,n4526,0.0
118,t0001,n4527,0.0
119,t0001,n4528,0.0
120,t0001,n4529,0.0
121,t0001,n4530,0.0
122,t0001,n4531,0.0
123,t0001,n4532,0.0
78,t0001,n3520,-717.0559717314487
124,t0001,n4533,0.0
126,t0001,n4535,0.0
127,t0001,n4536,0.0
128,t0001,n4537,0.0
129,t0001,n4538,0.0
130,t0001,n4539,0.0
131,t0001,n4540,0.0
132,t0001,n4541,0.0
125,t0001,n4534,0.0
77,t0001,n3512,-1434.1119434628974
76,t0001,n3507,0.0
75,t0001,n3505,0.0
21,t0001,n3324,0.0
22,t0001,n3348,-518.9220848056538
23,t0001,n3453,0.0
24,t0001,n3454,0.0
25,t0001,n3455,0.0
26,t0001,n3456,0.0
27,t0001,n3457,0.0
28,t0001,n3458,0.0
29,t0001,n3459,0.0
30,t0001,n3460,0.0
31,t0001,n3461,0.0
32,t0001,n3462,0.0
33,t0001,n3463,0.0
34,t0001,n3464,0.0
35,t0001,n3465,0.0
20,t0001,n3323,0.0
19,t0001,n3322,0.0
18,t0001,n3321,0.0
17,t0001,n3320,0.0
307,t0001,n4729,0.0
2,t0001,n3305,0.0
3,t0001,n3306,0.0
4,t0001,n3307,0.0
5,t0001,n3308,0.0
6,t0001,n3309,0.0
7,t0001,n3310,0.0
36,t0001,n3466,0.0
8,t0001,n3311,0.0
10,t0001,n3313,0.0
11,t0001,n3314,0.0
12,t0001,n3315,0.0
13,t0001,n3316,0.0
14,t0001,n3317,0.0
15,t0001,n3318,0.0
16,t0001,n3319,0.0
9,t0001,n3312,0.0
152,t0001,n4561,0.0
37,t0001,n3467,0.0
39,t0001,n3469,0.0
60,t0001,n3490,0.0
61,t0001,n3491,0.0
62,t0001,n3492,0.0
63,t0001,n3493,0.0
64,t0001,n3494,0.0
65,t0001,n3495,0.0
66,t0001,n3496,0.0
67,t0001,n3497,0.0
68,t0001,n3498,0.0
69,t0001,n3499,0.0
70,t0001,n3500,0.0
71,t0001,n3501,0.0
72,t0001,n3502,0.0
73,t0001,n3503,0.0
74,t0001,n3504,0.0
59,t0001,n3489,0.0
58,t0001,n3488,0.0
57,t0001,n3487,0.0
56,t0001,n3486,0.0
40,t0001,n3470,0.0
41,t0001,n3471,0.0
42,t0001,n3472,0.0
43,t0001,n3473,0.0
44,t0001,n3474,0.0
45,t0001,n3475,0.0
46,t0001,n3476,0.0
38,t0001,n3468,0.0
47,t0001,n3477,0.0
49,t0001,n3479,0.0
50,t0001,n3480,0.0
51,t0001,n3481,0.0
52,t0001,n3482,0.0
53,t0001,n3483,0.0
54,t0001,n3484,0.0
55,t0001,n3485,0.0
48,t0001,n3478,0.0
153,t0001,n4562,0.0
1,t0001,n3304,0.0
267,t0001,n4689,0.0
252,t0001,n4674,0.0
253,t0001,n4675,0.0
254,t0001,n4676,0.0
255,t0001,n4677,0.0
256,t0001,n4678,0.0
257,t0001,n4679,0.0
258,t0001,n4680,0.0
259,t0001,n4681,0.0
260,t0001,n4682,0.0
261,t0001,n4683,0.0
262,t0001,n4684,0.0
263,t0001,n4685,0.0
264,t0001,n4686,0.0
265,t0001,n4687,0.0
266,t0001,n4688,0.0
251,t0001,n4673,0.0
154,t0001,n4569,-547.765
250,t0001,n4672,0.0
248,t0001,n4670,0.0
232,t0001,n4654,0.0
233,t0001,n4655,0.0
234,t0001,n4656,0.0
235,t0001,n4657,0.0
236,t0001,n4658,0.0
237,t0001,n4659,0.0
238,t0001,n4660,0.0
239,t0001,n4661,0.0
240,t0001,n4662,0.0
241,t0001,n4663,0.0
242,t0001,n4664,0.0
243,t0001,n4665,0.0
244,t0001,n4666,0.0
245,t0001,n4667,0.0
246,t0001,n4668,0.0
249,t0001,n4671,0.0
268,t0001,n4690,0.0
269,t0001,n4691,0.0
270,t0001,n4692,0.0
291,t0001,n4713,0.0
292,t0001,n4714,0.0
293,t0001,n4715,0.0
294,t0001,n4716,0.0
295,t0001,n4717,0.0
296,t0001,n4718,0.0
297,t0001,n4719,0.0
298,t0001,n4720,0.0
299,t0001,n4721,0.0
300,t0001,n4722,0.0
301,t0001,n4723,0.0
302,t0001,n4724,0.0
303,t0001,n4725,0.0
304,t0001,n4726,0.0
305,t0001,n4727,0.0
290,t0001,n4712,0.0
289,t0001,n4711,0.0
288,t0001,n4710,0.0
287,t0001,n4709,0.0
271,t0001,n4693,0.0
272,t0001,n4694,0.0
273,t0001,n4695,0.0
274,t0001,n4696,0.0
275,t0001,n4697,0.0
276,t0001,n4698,0.0
277,t0001,n4699,0.0
231,t0001,n4653,0.0
278,t0001,n4700,0.0
280,t0001,n4702,0.0
281,t0001,n4703,0.0
282,t0001,n4704,0.0
283,t0001,n4705,0.0
284,t0001,n4706,0.0
285,t0001,n4707,0.0
286,t0001,n4708,0.0
279,t0001,n4701,0.0
230,t0001,n4652,0.0
247,t0001,n4669,0.0
228,t0001,n4650,0.0
175,t0001,n4597,0.0
176,t0001,n4598,0.0
177,t0001,n4599,0.0
178,t0001,n4600,0.0
179,t0001,n4601,0.0
180,t0001,n4602,0.0
181,t0001,n4603,0.0
182,t0001,n4604,0.0
183,t0001,n4605,0.0
